"X","avg_stars","median_stars","std_stars","avg_cool","median_cool","std_cool","avg_useful","median_useful","std_useful","avg_funny","median_funny","std_funny","Take.out","Caters","Noise.Level","Delivery","Has.TV","Outdoor.Seating","Alcohol","Waiter.Service","Accepts.Credit.Cards","Good.for.Kids","Good.For.Groups","Price.Range","top10percent"
49,1.8,1,1.78885438199983,1.2,1,1.6431676725155,3.2,2,3.27108544675922,2.4,1,3.36154726279432,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
50,3.4,3,1.14017542509914,0.2,0,0.447213595499958,0.6,0,1.34164078649987,0.2,0,0.447213595499958,"True","False","average","False","True","False","full_bar","True","True","False","True",2,"0"
51,4,4,0.707106781186548,2.8,3,1.48323969741913,2,2,1,1.2,2,1.09544511501033,"True","False","average","False","True","False","full_bar","True","True","False","True",2,"0"
52,5,5,0,3,3,3.08220700148449,2.6,2,3.71483512420134,2.6,3,2.60768096208106,"True","True","average","False","True","True","none","True","False","True","True",1,"0"
53,4.2,4,0.836660026534076,2,0,4.47213595499958,3.4,2,5.45893762558247,1,0,2.23606797749979,"True","True","average","False","True","False","full_bar","True","True","True","True",2,"0"
54,3.8,4,1.09544511501033,0.4,0,0.547722557505166,1.4,1,1.14017542509914,0.2,0,0.447213595499958,"True","False","average","False","True","False","full_bar","True","True","False","True",3,"0"
55,3,3,1.22474487139159,1.4,1,2.07364413533277,5.8,0,12.4177292610203,1.8,0,3.4928498393146,"False","False","very_loud","False","True","False","none","False","True","False","False",4,"0"
56,4.6,5,0.547722557505166,2.2,3,1.6431676725155,2.6,2,3.286335345031,1.6,2,1.51657508881031,"True","False","average","False","True","True","beer_and_wine","True","True","True","True",2,"0"
57,3.4,3,1.51657508881031,1,0,1.73205080756888,2.4,1,2.79284800875379,1.6,0,3.04959013639538,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
58,4.6,5,0.547722557505166,0.6,0,0.894427190999916,0.6,0,0.894427190999916,0.4,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
59,5,5,0,0.8,1,0.836660026534076,1.2,0,1.78885438199983,0,0,0,"True","True","average","False","True","True","full_bar","True","True","False","True",2,"0"
60,4.2,4,0.836660026534076,1.2,2,1.09544511501033,1.4,1,0.894427190999916,1.8,2,2.04939015319192,"True","True","average","False","True","True","full_bar","True","True","False","True",2,"0"
61,2.8,3,1.78885438199983,1.6,2,1.67332005306815,4.6,4,3.36154726279432,1.6,2,0.547722557505166,"True","True","average","False","True","True","full_bar","True","True","False","True",3,"0"
62,1,1,0,0.6,1,0.547722557505166,0.6,0,0.894427190999916,0.8,0,1.78885438199983,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
63,4.2,4,0.836660026534076,0.6,0,0.894427190999916,1,1,1,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",1,"0"
64,5,5,0,0,0,0,0.2,0,0.447213595499958,0,0,0,"True","True","average","False","False","True","full_bar","True","True","True","True",2,"1"
65,4.6,5,0.547722557505166,0.6,1,0.547722557505166,1.2,1,1.30384048104053,0.2,0,0.447213595499958,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
66,3.6,4,0.547722557505166,0.6,0,0.894427190999916,1.4,1,1.14017542509914,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
67,5,5,0,1.8,2,0.447213595499958,2.4,2,0.894427190999916,0.2,0,0.447213595499958,"True","True","average","False","True","True","full_bar","True","False","True","True",2,"1"
68,4.4,4,0.547722557505166,0.8,1,0.447213595499958,1,1,1,0.4,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
69,3.2,4,1.30384048104053,4.4,3,5.59464029227975,5.2,3,6.22093240599832,2,2,1.4142135623731,"True","False","average","False","True","True","full_bar","True","True","False","True",2,"0"
70,4,4,0.707106781186548,1,0,1.73205080756888,2.4,2,2.50998007960223,0.6,0,0.894427190999916,"True","False","average","False","True","True","full_bar","True","True","True","True",2,"0"
71,4.2,4,0.447213595499958,1,1,1,1.4,1,1.51657508881031,0.6,0,0.894427190999916,"True","True","average","True","True","False","beer_and_wine","False","True","True","True",1,"0"
72,3.4,3,0.894427190999916,1,1,0.707106781186548,1.6,2,1.14017542509914,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","False","True",3,"0"
73,4.6,5,0.894427190999916,1.6,1,0.894427190999916,0.8,1,0.836660026534076,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
74,2.6,3,1.67332005306815,2.6,2,3.286335345031,3.4,2,4.2190046219458,3.4,1,4.72228758124704,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
75,2.2,2,1.30384048104053,6.6,6,4.82700735445887,6.4,5,4.2190046219458,7.2,7,3.89871773792359,"True","True","average","False","False","False","full_bar","True","True","True","True",2,"0"
76,4.2,4,0.836660026534076,13.6,8,20.8518584303654,15.8,9,23.004347415217,8.8,4,13.8455769110572,"True","True","average","False","False","True","none","False","True","True","True",1,"0"
77,4,5,1.73205080756888,3.6,3,3.91152144312159,3.8,3,4.32434966208793,3.4,3,2.60768096208106,"True","False","quiet","True","False","False","beer_and_wine","True","True","False","True",3,"0"
78,3.8,4,1.6431676725155,0.6,0,0.894427190999916,1,1,1,0.4,0,0.547722557505166,"True","True","average","True","False","False","none","False","True","True","True",1,"0"
79,5,5,0,0,0,0,0.8,1,0.836660026534076,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
80,3.4,3,1.51657508881031,0.8,0,1.09544511501033,0.6,0,0.894427190999916,1,0,2.23606797749979,"True","True","quiet","False","False","False","beer_and_wine","True","True","True","True",1,"0"
81,5,5,0,4,4,2.23606797749979,5.8,6,2.68328157299975,4.8,5,1.92353840616713,"True","True","average","False","True","True","full_bar","True","True","True","True",1,"0"
82,3.6,5,1.94935886896179,1.2,1,0.447213595499958,2.8,3,0.836660026534076,0.8,0,1.09544511501033,"True","True","average","True","False","True","none","False","True","True","True",1,"0"
83,3.8,5,1.6431676725155,0.8,0,1.30384048104053,3,2,1.4142135623731,2.8,0,5.71839138219832,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"1"
84,3.4,3,0.547722557505166,0.6,0,0.894427190999916,0.6,0,0.894427190999916,0.4,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","False","True",3,"0"
85,5,5,0,8,3,8.71779788708135,11.2,5,11.7983049630021,4,3,4.30116263352131,"True","True","average","False","False","True","none","False","True","True","True",1,"1"
86,3.8,4,0.836660026534076,0.6,1,0.547722557505166,1,1,1,0,0,0,"True","True","very_loud","False","True","True","full_bar","True","True","False","True",3,"0"
87,4,4,0.707106781186548,1,1,1.22474487139159,2,3,1.87082869338697,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
88,4.8,5,0.447213595499958,0.6,1,0.547722557505166,1.4,1,1.51657508881031,0.8,1,0.836660026534076,"True","True","average","True","False","True","none","False","True","True","True",1,"0"
89,4.8,5,0.447213595499958,1.2,0,1.78885438199983,2.6,1,3.20936130717624,0.2,0,0.447213595499958,"False","False","average","False","False","False","full_bar","True","True","False","True",3,"0"
90,4.6,5,0.547722557505166,0,0,0,0,0,0,0,0,0,"True","False","average","False","False","True","none","False","True","True","True",1,"1"
91,1.8,1,1.30384048104053,0.2,0,0.447213595499958,3.6,3,2.70185121722126,0.8,1,0.836660026534076,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
92,3.8,4,0.447213595499958,0.6,0,0.894427190999916,0.8,0,1.30384048104053,1,0,1.4142135623731,"True","False","average","False","True","False","beer_and_wine","True","True","True","True",1,"0"
93,2.4,3,1.34164078649987,0.6,0,0.894427190999916,1,1,0.707106781186548,1.2,1,0.836660026534076,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"1"
94,3.6,3,0.894427190999916,1.2,1,1.30384048104053,0.8,1,0.836660026534076,0.4,0,0.894427190999916,"True","False","average","False","False","True","full_bar","True","True","True","True",2,"0"
95,4,4,0.707106781186548,2.4,2,0.894427190999916,3.2,3,1.09544511501033,0.8,1,0.447213595499958,"True","True","average","True","True","False","none","True","True","True","True",1,"0"
96,2.8,2,1.30384048104053,0.2,0,0.447213595499958,0.2,0,0.447213595499958,0.2,0,0.447213595499958,"True","False","loud","False","True","False","full_bar","True","True","False","True",2,"0"
97,1.8,2,0.836660026534076,0.6,0,0.894427190999916,4.4,4,2.50998007960223,0.4,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
98,4.8,5,0.447213595499958,1,0,1.73205080756888,2,1,2.91547594742265,0.6,0,1.34164078649987,"True","True","average","False","True","True","full_bar","True","True","True","True",3,"0"
99,3.6,5,1.94935886896179,1.2,2,1.09544511501033,2.2,2,1.92353840616713,1.6,1,2.07364413533277,"True","True","average","False","False","True","none","True","True","True","True",2,"0"
100,3.8,4,0.836660026534076,0.6,0,1.34164078649987,0.4,0,0.547722557505166,1.2,0,2.16794833886788,"False","False","quiet","False","False","False","full_bar","True","True","False","True",4,"0"
101,4.4,4,0.547722557505166,1.4,1,0.547722557505166,1.8,2,1.09544511501033,0.6,1,0.547722557505166,"False","False","average","False","False","True","full_bar","True","True","False","True",3,"0"
102,3,3,1.22474487139159,0.2,0,0.447213595499958,1.6,1,1.51657508881031,0.2,0,0.447213595499958,"True","True","average","False","True","True","full_bar","True","True","False","True",3,"0"
103,3.6,4,1.14017542509914,1.6,2,1.67332005306815,4,4,3.08220700148449,1.6,2,1.67332005306815,"True","True","average","True","True","True","beer_and_wine","True","True","True","True",1,"0"
104,4,4,1.22474487139159,0.8,1,0.447213595499958,1,1,1,0.6,0,0.894427190999916,"True","False","loud","False","False","False","none","True","True","True","True",2,"0"
105,4.8,5,0.447213595499958,0.2,0,0.447213595499958,1.8,0,2.68328157299975,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"1"
106,4,4,0.707106781186548,1.6,1,0.894427190999916,2.2,2,1.09544511501033,1,1,0,"True","True","quiet","False","False","True","full_bar","True","True","False","True",2,"0"
107,3.6,4,0.894427190999916,0,0,0,1.2,1,1.30384048104053,0.4,0,0.894427190999916,"True","True","average","True","True","False","full_bar","True","True","True","True",2,"0"
108,3,3,1.58113883008419,0.8,1,0.836660026534076,3.2,1,5.54075807087803,1.4,1,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
109,3.6,4,1.51657508881031,1.8,2,1.30384048104053,2.4,2,1.67332005306815,0,0,0,"True","False","quiet","False","True","True","beer_and_wine","True","True","True","True",2,"0"
110,4.6,5,0.894427190999916,4.6,2,6.10737259384099,6,2,7.58287544405155,3.2,0,6.09918027279076,"True","False","average","False","True","True","beer_and_wine","True","True","True","True",2,"0"
111,2.2,2,1.09544511501033,0,0,0,0.6,0,0.894427190999916,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
112,5,5,0,1.8,0,3.4928498393146,2.2,0,3.4928498393146,1.4,0,3.13049516849971,"True","True","average","False","True","True","full_bar","True","True","True","True",1,"1"
113,4.8,5,0.447213595499958,0.4,0,0.547722557505166,2,1,1.4142135623731,0.2,0,0.447213595499958,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
114,3.4,4,1.34164078649987,0.6,0,0.894427190999916,1,1,1.22474487139159,1,1,1.22474487139159,"True","True","average","False","False","False","full_bar","True","True","True","True",2,"0"
115,4.6,5,0.547722557505166,2.8,1,3.83405790253616,2.2,1,3.3466401061363,1.8,1,2.48997991959775,"True","True","average","False","False","False","none","False","True","True","True",1,"1"
116,5,5,0,4.4,1,6.54217089351845,5.4,0,9.09945053286186,2.8,0,5.71839138219832,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
117,3.6,4,1.14017542509914,0.4,0,0.547722557505166,0.8,1,0.836660026534076,0.4,0,0.894427190999916,"True","True","average","False","False","True","none","False","True","True","True",1,"1"
118,3,3,0.707106781186548,0.6,0,0.894427190999916,1.4,1,1.51657508881031,0.4,0,0.894427190999916,"False","False","average","False","False","False","beer_and_wine","True","True","True","True",2,"0"
119,3.8,4,0.836660026534076,1.4,1,1.67332005306815,1.6,2,0.894427190999916,1.4,0,2.60768096208106,"True","True","average","False","False","True","full_bar","True","True","True","False",2,"0"
120,4.4,4,0.547722557505166,1.6,2,1.14017542509914,1.4,2,0.894427190999916,1.2,1,1.09544511501033,"True","False","average","False","False","False","beer_and_wine","True","True","True","False",1,"0"
121,5,5,0,0,0,0,0.4,0,0.547722557505166,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"1"
122,4.6,5,0.547722557505166,1.4,1,0.547722557505166,2,1,1.4142135623731,0,0,0,"True","True","average","False","True","True","full_bar","True","True","False","True",2,"0"
123,4.2,4,0.447213595499958,1.8,1,2.94957624075052,3.4,3,2.88097205817759,1,0,1.73205080756888,"True","False","average","False","False","False","none","True","True","True","True",2,"0"
124,2.6,3,0.547722557505166,0.6,0,0.894427190999916,1.6,1,1.51657508881031,0.6,0,1.34164078649987,"True","False","average","False","True","False","none","True","True","True","True",1,"0"
125,4.6,5,0.894427190999916,0,0,0,0.4,0,0.547722557505166,0,0,0,"False","False","average","False","False","True","full_bar","True","True","False","True",3,"0"
126,3.2,3,1.48323969741913,2,1,2,7.2,9,6.37965516309463,2.4,3,1.81659021245849,"False","False","quiet","False","False","False","none","True","True","True","True",2,"0"
127,1.6,1,1.34164078649987,4.8,6,3.63318042491699,8.6,10,5.59464029227975,4.4,5,2.79284800875379,"False","False","average","False","False","False","full_bar","True","True","False","True",3,"0"
128,4,4,1,0.6,1,0.547722557505166,0.6,1,0.547722557505166,0.4,0,0.547722557505166,"True","False","loud","False","True","True","full_bar","True","True","False","True",2,"0"
129,5,5,0,2,1,2,1.8,2,1.30384048104053,1,0,1.4142135623731,"True","True","quiet","False","True","False","none","False","True","True","True",1,"0"
130,3.8,4,0.836660026534076,0.8,0,1.09544511501033,0,0,0,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
131,3.6,4,1.14017542509914,1,0,1.4142135623731,1.4,1,1.67332005306815,1,1,1,"True","True","average","True","True","True","full_bar","True","True","True","True",2,"0"
132,4.4,4,0.547722557505166,0,0,0,0.6,1,0.547722557505166,0.4,0,0.547722557505166,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
133,5,5,0,0.6,0,1.34164078649987,1.8,1,2.94957624075052,0.6,0,0.894427190999916,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
134,4,5,1.73205080756888,0,0,0,0.2,0,0.447213595499958,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
135,2,2,1,5.4,5,5.89915248150105,5.4,5,5.31977443130815,5.4,3,5.63914887194867,"True","True","average","False","True","False","full_bar","True","True","True","True",1,"0"
136,4.4,4,0.547722557505166,3,3,1.22474487139159,4,4,1.58113883008419,1.8,2,1.09544511501033,"True","False","average","False","True","True","none","True","True","True","True",1,"0"
137,4.8,5,0.447213595499958,3,3,1.58113883008419,4.2,5,2.58843582110896,0.8,0,1.30384048104053,"True","True","average","False","True","True","full_bar","True","True","False","True",2,"0"
138,4,4,0.707106781186548,1.6,1,1.81659021245849,1.2,0,1.6431676725155,1.4,0,2.19089023002066,"True","True","average","False","True","True","full_bar","True","True","False","True",2,"0"
139,4.4,4,0.547722557505166,0.2,0,0.447213595499958,0.4,0,0.547722557505166,0,0,0,"True","False","average","False","True","True","full_bar","True","True","False","True",2,"0"
140,2.6,3,1.14017542509914,1.2,0,2.16794833886788,1.2,1,1.6431676725155,2.6,0,3.71483512420134,"True","True","average","False","False","False","full_bar","True","True","True","True",2,"0"
141,3.6,4,0.547722557505166,0.4,0,0.547722557505166,0.8,1,0.836660026534076,0.2,0,0.447213595499958,"True","False","average","False","False","False","beer_and_wine","False","True","True","True",2,"0"
142,5,5,0,1,1,0.707106781186548,1.6,2,1.14017542509914,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
143,4.4,5,0.894427190999916,5,3,5.43139024560011,8.2,7,6.83373982530795,2.4,2,2.60768096208106,"True","True","average","False","True","False","none","True","True","True","True",1,"0"
144,3.6,4,1.67332005306815,0,0,0,0.4,0,0.894427190999916,0,0,0,"True","False","average","False","True","False","full_bar","True","True","True","True",2,"0"
145,4.4,5,0.894427190999916,0.8,0,1.30384048104053,1.2,0,1.6431676725155,0,0,0,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
146,5,5,0,4.4,1,7.05691150575094,5.8,1,10.2323017938292,3.4,0,7.60263112349929,"True","True","quiet","True","True","True","none","False","True","True","True",1,"0"
147,5,5,0,0.4,0,0.894427190999916,1.2,1,1.09544511501033,0.2,0,0.447213595499958,"True","True","average","False","True","True","full_bar","True","True","False","True",2,"0"
148,3.2,3,1.09544511501033,0.2,0,0.447213595499958,1.2,1,1.6431676725155,0.2,0,0.447213595499958,"True","False","average","False","True","False","full_bar","True","True","False","True",2,"0"
149,5,5,0,1.6,1,0.894427190999916,8.2,8,1.09544511501033,0.4,0,0.547722557505166,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"1"
150,4.8,5,0.447213595499958,1.2,1,1.09544511501033,1.8,2,1.30384048104053,0,0,0,"False","False","average","False","True","False","full_bar","True","True","True","True",2,"0"
151,3.2,3,1.30384048104053,0.4,0,0.547722557505166,0.2,0,0.447213595499958,0.2,0,0.447213595499958,"True","True","average","False","False","True","none","True","True","True","True",1,"0"
152,2.6,2,1.34164078649987,0,0,0,0.8,1,0.447213595499958,0.4,0,0.547722557505166,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
153,3.4,3,1.14017542509914,1,0,2.23606797749979,1.8,2,0.836660026534076,1,1,1.22474487139159,"False","False","average","False","True","False","full_bar","True","True","False","True",3,"0"
154,2.8,3,0.447213595499958,0.2,0,0.447213595499958,3,2,1.87082869338697,0.4,0,0.547722557505166,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
155,4.4,4,0.547722557505166,1.4,1,1.14017542509914,1,1,0.707106781186548,0.4,0,0.547722557505166,"True","False","average","False","True","True","none","True","True","True","True",1,"0"
156,3.8,4,1.30384048104053,0.6,0,0.894427190999916,0.8,1,0.836660026534076,0.4,0,0.547722557505166,"True","False","average","False","True","True","full_bar","True","True","True","True",2,"0"
157,3.8,4,0.836660026534076,2,2,2.12132034355964,3.2,3,1.78885438199983,1,1,1.22474487139159,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
158,4.8,5,0.447213595499958,6.2,0,13.8636214604987,7.6,1,13.6674796506159,3.8,0,8.4970583144992,"True","False","average","False","True","False","full_bar","True","True","True","True",2,"0"
159,4.8,5,0.447213595499958,2,1,2.23606797749979,1.6,1,1.34164078649987,0.8,1,0.836660026534076,"True","True","loud","False","False","True","beer_and_wine","False","True","True","True",1,"0"
160,3,3,0.707106781186548,0.6,0,0.894427190999916,1,1,0,0.4,0,0.547722557505166,"True","True","average","False","True","True","full_bar","True","True","True","True",2,"0"
